,delta,golf,bravo,echo,charlie,alpha,foxtrot
6/2/2018,28.576,28.254,28.328,28.246,-19.279,-19.282,-19.294
6/3/2018,28.447,28.129,28.205,28.131,-19.291,-19.299,-19.316
6/4/2018,28.337,28.008,28.082,27.998,-19.317,-19.326,-19.34
6/5/2018,28.211,27.883,27.961,27.887,-19.339,-19.343,-19.354
6/6/2018,28.108,27.773,27.847,27.763,-19.354,-19.359,-19.374
6/7/2018,27.989,27.652,27.726,27.655,-19.38,-19.389,-19.406
6/8/2018,27.89,27.549,27.623,27.539,-19.411,-19.417,-19.429
6/9/2018,27.778,27.431,27.507,27.433,-19.433,-19.437,-19.45
6/10/2018,27.683,27.337,27.411,27.329,-19.458,-19.466,-19.484
6/11/2018,27.582,27.226,27.299,27.226,-19.495,-19.504,-19.518
6/12/2018,27.49,27.137,27.211,27.132,-19.528,-19.532,-19.543
6/13/2018,27.39,27.033,27.107,27.03,-19.555,-19.56,-19.576
6/14/2018,27.308,26.949,27.024,26.947,-19.593,-19.602,-19.619
6/15/2018,27.23,26.856,26.927,26.851,-19.636,-19.642,-19.653
6/16/2018,27.147,26.775,26.849,26.776,-19.669,-19.673,-19.686
6/17/2018,27.073,26.691,26.764,26.684,-19.707,-19.715,-19.732
6/18/2018,26.99,26.614,26.689,26.616,-19.756,-19.764,-19.778
6/19/2018,26.929,26.542,26.614,26.533,-19.8,-19.803,-19.814
6/20/2018,26.852,26.467,26.54,26.471,-19.839,-19.845,-19.861
6/21/2018,26.797,26.405,26.477,26.395,-19.89,-19.899,-19.916
6/22/2018,26.726,26.333,26.408,26.337,-19.945,-19.95,-19.961
6/23/2018,26.679,26.282,26.354,26.273,-19.989,-19.993,-20.006
6/24/2018,26.619,26.216,26.288,26.219,-20.039,-20.048,-20.065
6/25/2018,26.576,26.172,26.244,26.164,-20.1,-20.108,-20.121
6/26/2018,26.521,26.111,26.184,26.112,-20.155,-20.158,-20.169
6/27/2018,26.48,26.075,26.148,26.07,-20.205,-20.211,-20.227
6/28/2018,26.443,26.024,26.094,26.022,-20.267,-20.276,-20.292
6/29/2018,26.407,25.992,26.064,25.99,-20.332,-20.337,-20.348
6/30/2018,26.376,25.949,26.021,25.945,-20.387,-20.39,-20.404
7/1/2018,26.342,25.922,25.995,25.923,-20.447,-20.456,-20.473
7/2/2018,26.327,25.891,25.961,25.885,-20.519,-20.526,-20.539
7/3/2018,26.297,25.867,25.939,25.87,-20.584,-20.586,-20.597
7/4/2018,26.29,25.846,25.917,25.837,-20.644,-20.65,-20.666
7/5/2018,26.263,25.825,25.898,25.829,-20.717,-20.726,-20.741
7/6/2018,26.262,25.815,25.886,25.807,-20.791,-20.796,-20.807
7/7/2018,26.245,25.798,25.869,25.802,-20.856,-20.86,-20.873
7/8/2018,26.251,25.798,25.868,25.788,-20.927,-20.935,-20.952
7/9/2018,26.242,25.784,25.856,25.787,-21.008,-21.015,-21.028
7/10/2018,26.253,25.792,25.864,25.785,-21.082,-21.084,-21.096
7/11/2018,26.251,25.785,25.855,25.787,-21.15,-21.156,-21.173
7/12/2018,26.265,25.8,25.871,25.795,-21.232,-21.24,-21.256
7/13/2018,26.274,25.799,25.87,25.799,-21.315,-21.319,-21.33
7/14/2018,26.29,25.819,25.891,25.817,-21.387,-21.39,-21.403
7/15/2018,26.311,25.828,25.897,25.825,-21.464,-21.472,-21.489
7/16/2018,26.33,25.852,25.923,25.852,-21.552,-21.559,-21.572
7/17/2018,26.359,25.868,25.939,25.863,-21.632,-21.634,-21.645
7/18/2018,26.38,25.894,25.967,25.897,-21.706,-21.712,-21.727
7/19/2018,26.419,25.921,25.99,25.914,-21.792,-21.801,-21.817
7/20/2018,26.443,25.949,26.019,25.953,-21.88,-21.884,-21.895
7/21/2018,26.488,25.984,26.054,25.975,-21.956,-21.959,-21.972
7/22/2018,26.516,26.012,26.084,26.017,-22.036,-22.044,-22.062
7/23/2018,26.567,26.056,26.126,26.048,-22.127,-22.134,-22.148
7/24/2018,26.601,26.087,26.158,26.092,-22.21,-22.212,-22.223
7/25/2018,26.655,26.138,26.208,26.13,-22.285,-22.291,-22.307
7/26/2018,26.694,26.171,26.243,26.174,-22.371,-22.38,-22.396
7/27/2018,26.751,26.227,26.299,26.222,-22.46,-22.465,-22.476
7/28/2018,26.799,26.266,26.336,26.267,-22.537,-22.54,-22.553
7/29/2018,26.857,26.325,26.396,26.322,-22.615,-22.623,-22.64
7/30/2018,26.911,26.368,26.439,26.367,-22.704,-22.712,-22.726
7/31/2018,26.968,26.43,26.502,26.429,-22.787,-22.789,-22.8
8/1/2018,27.031,26.48,26.55,26.476,-22.86,-22.865,-22.88
8/2/2018,27.09,26.542,26.613,26.543,-22.943,-22.951,-22.968
8/3/2018,27.158,26.598,26.669,26.592,-23.029,-23.034,-23.046
8/4/2018,27.216,26.659,26.732,26.663,-23.104,-23.106,-23.119
8/5/2018,27.291,26.723,26.793,26.716,-23.177,-23.184,-23.202
8/6/2018,27.35,26.784,26.855,26.788,-23.261,-23.269,-23.284
8/7/2018,27.429,26.853,26.924,26.844,-23.34,-23.343,-23.354
8/8/2018,27.489,26.912,26.985,26.917,-23.408,-23.412,-23.427
8/9/2018,27.571,26.987,27.059,26.98,-23.483,-23.492,-23.509
8/10/2018,27.635,27.047,27.118,27.051,-23.564,-23.57,-23.582
8/11/2018,27.717,27.125,27.197,27.118,-23.633,-23.635,-23.647
8/12/2018,27.784,27.184,27.257,27.188,-23.697,-23.704,-23.721
8/13/2018,27.865,27.265,27.338,27.261,-23.772,-23.78,-23.796
8/14/2018,27.938,27.328,27.399,27.329,-23.844,-23.847,-23.858
8/15/2018,28.017,27.408,27.48,27.406,-23.903,-23.906,-23.92
8/16/2018,28.093,27.472,27.545,27.47,-23.966,-23.974,-23.992
8/17/2018,28.169,27.551,27.625,27.551,-24.036,-24.042,-24.056
8/18/2018,28.25,27.619,27.69,27.615,-24.095,-24.097,-24.109
8/19/2018,28.323,27.695,27.767,27.697,-24.147,-24.152,-24.169
8/20/2018,28.406,27.765,27.838,27.758,-24.207,-24.216,-24.232
8/21/2018,28.476,27.836,27.911,27.841,-24.267,-24.271,-24.283
8/22/2018,28.562,27.911,27.983,27.904,-24.313,-24.315,-24.33
8/23/2018,28.63,27.978,28.052,27.984,-24.36,-24.367,-24.385
8/24/2018,28.716,28.055,28.128,28.046,-24.414,-24.421,-24.436
8/25/2018,28.781,28.117,28.193,28.123,-24.46,-24.462,-24.474
8/26/2018,28.866,28.196,28.27,28.189,-24.495,-24.5,-24.516
8/27/2018,28.932,28.256,28.33,28.261,-24.537,-24.546,-24.564
8/28/2018,29.014,28.334,28.408,28.328,-24.581,-24.586,-24.599
8/29/2018,29.079,28.391,28.466,28.394,-24.612,-24.614,-24.628
8/30/2018,29.158,28.468,28.543,28.464,-24.639,-24.646,-24.665
8/31/2018,29.225,28.525,28.598,28.526,-24.675,-24.683,-24.699
9/1/2018,29.298,28.598,28.673,28.596,-24.705,-24.708,-24.72
9/2/2018,29.366,28.653,28.728,28.651,-24.723,-24.726,-24.742
9/3/2018,29.433,28.721,28.798,28.722,-24.744,-24.752,-24.77
9/4/2018,29.503,28.779,28.853,28.775,-24.77,-24.776,-24.79
9/5/2018,29.564,28.841,28.917,28.844,-24.784,-24.786,-24.799
9/6/2018,29.634,28.898,28.973,28.891,-24.791,-24.796,-24.814
9/7/2018,29.689,28.953,29.031,28.958,-24.805,-24.813,-24.831
9/8/2018,29.759,29.012,29.087,29.005,-24.818,-24.821,-24.834
9/9/2018,29.81,29.061,29.138,29.067,-24.816,-24.819,-24.834
